,Unnamed: 0.1,Unnamed: 0,links,names,ratings,price for two,cuisine,area,final_reviews,area_list,cuisine_list
0,0,0,https://www.zomato.com/bangalore/jamming-goat-3-0-indiranagar-bangalore,Jamming Goat 3.0,4.4,"₹1,500 for two",south indian asian thai,indiranagar, music decent good music friendly service friendly welcome,Indiranagar,"South Indian, Asian, Thai"
1,1,1,https://www.zomato.com/bangalore/hydra-club-kitchen-koramangala-5th-block-bangalore,Hydra Club & Kitchen,New,"₹1,200 for two",continental,koramangala, ambience great ambience hygiene ambience nice family friendly friendly staff good service wonderful ambience maintain family nice ambience,Koramangala,Continental
2,2,2,https://www.zomato.com/bangalore/scottish-pub-st-marks-road,Scottish Pub,4.3,₹700 for two,finger food,st.marksroad,great place nice place prices good place staff service oldest pub scottish pub pub second pub amazing friendly staff friendly feel friendly pub fresh drinks,St. Marks Road,Finger Food
3,3,3,https://www.zomato.com/bangalore/raahi-st-marks-road-bangalore,Raahi,4.2,"₹2,000 for two",north indian pasta pizza desserts beverages,st.marksroad,innovative fusion food great service good food highly recommended amazing food experience ambience nice service quality food road ambience family absolutely family great fine dining friendly effort,St. Marks Road,"North Indian, Pasta, Pizza, Desserts, Beverages"
4,4,4,https://www.zomato.com/bangalore/oney-brewhouse-cunningham-road-bangalore,Oney Brewhouse,New,"₹1,500 for two",american continental italian south indian north indian asian chinese,cunninghamroad, ,Cunningham Road,"American, Continental, Italian, South Indian, North Indian, Asian, Chinese"
5,5,5,https://www.zomato.com/bangalore/bombay-borough-richmond-road-bangalore,Bombay Borough,4.5,"₹2,000 for two",north indian biryani south indian desserts tea beverages,richmondroad,nice concept served quickly courteous staffs sanitised service affordable good vibe service great excellent ambience,Richmond Road,"North Indian, Biryani, South Indian, Desserts, Tea, Beverages"
6,6,6,https://www.zomato.com/bangalore/over-coffee-cafe-wine-bar-lavelle-road-bangalore,Over Coffee Cafe & Wine Bar,4.9,"₹1,200 for two",european italian continental cafe coffee,lavelleroad,good wifi elaborate menu ambience fresh food service good quality family spot excuse family,Lavelle Road,"European, Italian, Continental, Cafe, Coffee"
7,7,7,https://www.zomato.com/bangalore/the-bier-library-koramangala-6th-block-bangalore,The Bier Library,4.5,"₹1,800 for two",north indian pizza european american bar food oriental desserts bbq,koramangala,loved ambience highly recommended ambience beautiful live entertainment pub games good food good ambience nice ambience drinks good,Koramangala,"North Indian, Pizza, European, American, Bar Food, Oriental, Desserts, BBQ"
8,8,8,https://www.zomato.com/bangalore/tandoor-a-heritage-indian-restaurant-bar-mg-road-bangalore,Tandoor | A Heritage Indian Restaurant & Bar,3.7,"₹1,700 for two",north indian mughlai kebab kashmiri seafood biryani grilled chicken bar food,mgroad,royal ambience classic ambience sophisticated worth price valet parking live music excellent service service great fun update good ambience,MG Road,"North Indian, Mughlai, Kebab, Kashmiri, Seafood, Biryani, Grilled Chicken, Bar Food"
9,9,9,https://www.zomato.com/bangalore/shakesbierre-1-brigade-road-bangalore,ShakesBierre,4.4,"₹1,800 for two",finger food north indian continental italian desserts beverages,brigaderoad,karaoke room good music beautiful ambiance valet service service great fast vibrant ambience rooftop seating great music friendly visit friendly suggest,Brigade Road,"Finger Food, North Indian, Continental, Italian, Desserts, Beverages"
